㐁犁,伸犁
一客毋犯二主,一客不犯二主
一家一个主，一廟一个神,一家一個主，一廟一個神
一家一務,各有各的事
一家之講,一家之說
一家大細,一家大小
一家老細,一家老小
一尋長,臂長
一屋下,一屋子
一屋下人,一家人
一屋家,整家
一屑,一丁點
一屑屑,一點點
一山毋容二虎,一山不容二虎
一年大，二年細,一年大，二年小
一年生,一年級
一年透天,一年到頭
一年透天,一整年
一年透天,整年
一床蘿蔔粄,一床蘿蔔糕
一座屋,一棟房子
一張凳仔,一張椅子
一心打兩意,舉棋不定
一息,一些
一息,一點點
一息仔,一絲絲
一息仔,一點
一息仔,一點點
一息仔,些許
一息息,一點點
一息息仔,一些些
一息息仔,一點點
一息息仔,極少
一托弓蕉,一串香蕉
一抹殺,通通
一排樹仔,一排樹木
一接眼,乍看之下
一搭,一區
一搭,一塊
一摝水,一概而論
一擺,一次
一擺半擺,一次兩次
一文毋名,一文不名
一斗米養个恩人，一石米養个仇人,一斗米養個恩人，一石米養個仇人
一日,一天
一日到暗,一天到晚
一日到暗,從早到晚
一日叫娘，終身係母,一日叫娘，終身是母
一日夜,一天夜
一日毋見，如隔三秋,一日不見，如隔三秋
一日邊,大約一日
一旦,向來
一時,一下子
一時八刻,一個時辰
一時毋等一時,一時不等一時
一時間,一時之間
一晝邊,一個上午
一晝邊,一個下午
一枚針,一根針
一枝竹篙打一船人,一竿子打翻一船人
一條歌仔,一首歌
一條索仔,一條繩子
一條腸仔透屎胐,一條腸子通到底
一條腸仔透屎胐,有什麼就說什麼
一條面帕,一條毛巾
一概,一律
一樖,一串
一樣米畜百樣人,一樣米養百樣人
一樣飯供百樣人,一樣米養百樣人
一步一个腳印兒,一步一個腳印兒
一步步仔,一步一步
一毋做二毋休,一不做二不休
一毋做，二毋休,一不做，二不休
一毋扭眾,一不扭眾
一毋拗眾,一不拗眾
一毋溜,一不溜
一毋細心,一不小心
一滴,一丁點
一滴仔,一丁點
一滴仔,一點點
一滴滴,一點點
一片,一邊
一物毋知,一物不知
一生人,一生
一生人,一輩子
一生受用毋盡,一生受用不盡
一生喫著毋盡,一生喫著不盡
一甲當,一甲的
一甲當,約一甲
一發毋可收拾,一發不可收拾
一百三十零,一百三十多
一百三十零,一百三十幾
一百空二,一百零二
一百空五,一百零五
一皮葉仔,一片葉子
一盒餅仔,一盒糕餅
一直到,直到
一直落,一整排
一眨目,一眨眼
一瞑毋視,一瞑不視
一石米有幾重,一石米有多重
一秤毋抵一秤,一秤不抵一秤
一穴地,一塊墳地
一空一壢,一孔一隙
一空一缺,每個細節
一窩一窟,高低不平
一竇,一窩
一等省,很節省
一細撮,一小撮
一組膨凳,一組沙發
一組衫弓仔,一組晾衣架
一絲毋掛,一絲不掛
一罐火油,一罐花生油
一群,一批
一聲毋響,一聲不響
一背,一背帶
一胎生兩三个孩子,一胎生兩三個孩子
一舉兩便,一舉兩得
一般,通常
一般般,一模一樣
一色青天,晴空萬里
一莊一俗,各有不同
一葉蔽目，毋見泰山,一葉蔽目，不見泰山
一葉蘭,臺灣一葉蘭
一葉障目，毋見泰山,一葉障目，不見泰山
一著毋慎，滿盤皆輸,一著不慎，滿盤皆輸
一著錯，滿盤俱係空,一著錯，滿盤俱是空
一蕊,一朵
一蟹毋如一蟹,一蟹不如一蟹
一行,一走
一角銀,一角
一言中个,一言中的
一言已定，千金毋移,一言已定，千金不移
一言毋合,一言不合
一言毋發,一言不發
一語中个,一語中的
一語毋發,一語不發
一語破个,一語破的
一講,一說
一買啊著,一買到
一路里來,向來如此
一踢三通,舉一反三
一身,一套
一身係膽,一身是膽
一身做毋得兩件事,一身做不得兩件事
一身屎,全身都是糞便
一身衫褲,一套衣服
一身西裝,一套西裝
一輪,一趟
一還一，二還二,彼此分清楚
一部二十四史，毋知從何講起,一部二十四史，不知從何說起
一部分係厥个,一部分是他的
一錢毋名,一錢不名
一錢毋落虛空地,一錢不落虛空地
一鍬掘个井,一鍬掘個井
一間,一所
一陣,一群
一隔一跳,彼此相隔不連接
一隻,一個
一隻化妝舞會,一個化妝舞會
一隻大城市,一個大城市
一隻完整个樂隊,一個完整的樂隊
一隻山林,一個山林
一隻彎月,一個彎月
一隻明確个目標,一個明確的目標
一隻暖壺,一個熱水瓶
一隻朗斗个歌聲,一個清澈響亮的歌聲
一隻杯仔,一個杯子
一隻杯仔,一只杯子
一隻檸檬,一個檸檬
一隻畜生个頭那,一個牲畜的頭
一隻碗毋響，兩隻碗叮噹,一隻碗不響，兩隻碗叮噹
一隻罕得有个舞會,一個難得有的舞會
一隻聲音,一個聲音
一隻莊嚴,一個莊嚴
一隻道理,一個道理
一隻隻仔,一隻隻的
一雙襪仔,一雙襪子
一雙高㬹鞋,一雙高跟鞋
一雞三食,一雞三吃
一雷壓三颸,一雷破九颱
一面,一臉
一頂帽仔,一頂帽子
一頂眠床,一張床鋪
一領,一件
一領膨線衫,一件毛線衣
一領衫,一件衣服
一領衫褲,一件衣服
一領褲,一件褲子
一頭,一棵
一頭一面,滿頭滿臉
一餐仔,一餐
一馬毋被兩鞍,一馬不被兩鞍
一駁,一段時間
一駁,一陣子
一駁仔,一段時間
一魚兩食,一魚兩吃
一鹿九鞭,假貨很多
一點一撇,一筆一劃
一點水一个泡,一點水一個泡
一點鐘,一小時
丁係丁，卯係卯,丁是丁，卯是卯
丁格利博物館,瑞士丁格利博物館
七七八八,囉哩囉唆
七上八落,七上八下
七个八个,七個八個
七个創會會館,七個創會會館
七個和尚八樣腔,七嘴八舌
七做八毋對,老是做錯
七前插,羅勒
七十份莊頭,七十份庄頭
七十外,七十多
七十零,七十多
七坐、八爬、九生牙,七坐、八爬、九長牙
七坐八爬,七月能坐
七垣插,九層塔
七大八細,七大八小
七好過八,本事比人差
七姑星,七姊妹星團
七姑星,北斗七星
七姑星,昴宿星團
七娘生,農曆七月七日
七孔,七竅
七孔八竅,坑坑洞洞
七孔八竅,足智多謀
七孔八翹,高低不平
七層塔,七緣塔
七層塔,九層塔
七層塔,羅勒
七層塔,美羅勒
七層塔頭,九層塔前端
七手八腳,人多雜亂
七攞八合,混在一起
七早八早,大清早
七早八早,這麼早
七早八早,非常早
七星花蛄仔,七星瓢蟲
七月七,七夕
七月半,中元節
七牯星,七公牛星
七瘥草,母草
七緣插,九層塔
七葉蓮,冇骨消
七錢插,羅勒
七除八扣,七扣八扣
七除八扣,七折八扣
七隻,七個
丈,十臺尺
丈㜷哀,岳母
丈㜷老,岳父
丈人,岳父
丈人哀,岳母
丈人婆,岳祖母
丈人老,岳父
丈公,姨公
丈公,姨祖父
丈夫有淚毋輕彈,丈夫有淚不輕彈
三ㄚ苦,三角虌
三七,洋落葵
三三仔,馬馬虎虎
三下钁頭兩畚箕,坦率直爽
三不二時,偶爾
三不二時,有時候
三不五時,時常
三不服,三方各不相讓
三个,三的
三个臭皮匠，勝過諸葛亮,三個臭皮匠，勝過諸葛亮
三个鼻子管,三個鼻子管
三交代四吩咐,再三叮嚀
三交代四吩咐,千叮嚀萬囑咐
三人抬毋過个理字,三人抬不過個理字
三人行必有𠊎師,三人行必有我師
三代家庭,折衷家庭
三借四借,這裡借那裡借
三光半夜,三更半夜
三兩重,非常輕易的事
三分人事七分天,三分人事七分命運
三分親,有點親戚關係
三加皮,三葉五加
三十二位元个人電腦,三十二位元個人電腦
三十六个牙齒，捉對兒廝打,三十六個牙齒，捉對兒廝打
三十六策，走係上計,三十六策，走是上計
三十暗晡,大年夜
三十暗晡,除夕
三十暗晡,除夕夜
三十零,三十多
三千年个老狗屎,過時沒意義
三千零銀,三千多元
三叉河莊頭,三叉河庄頭
三句毋離本行,三句不離本行
三叮嚀四吩咐,再三提醒
三叮嚀四囑咐,一再的囑咐
三合枋,三合板
三合枋,三夾板
三噭四噭,一直哭
三天三夜講毋完,三天三夜說不完
三子哀,三母子
三子嫂,三妯娌
三子爺,三父子
三宕四宕,一拖再拖
三寶鳥,佛法僧
三尞四尞,拖拖拉拉
三尞四尞,這裡玩那裡玩
三層大，二層細,三層大，二層小
三層肉,五花肉
三年毋上門，當親也毋親,三年不上門，當親也不親
三年毋窺園,三年不窺園
三年毋雨,三年不雨
三年生,三年級
三弦,弦子
三心兩意,三心二意
三心兩意,舉棋不定
三心打兩意,舉棋不定
三抓四抓,一直拿
三抓四抓,這裡拿那裡拿
三拍仔,三拍子
三掘四掘,一直挖
三掘四掘,這裡挖那裡挖
三揀四揀,挑三揀四
三摸四摸,拖拖拉拉
三摸四摸,這裡摸那裡摸
三擇四擇,這也挑那也挑
三擠四擠,一直擠
三日,三天
三日一細宴，五日一大宴,三日一小宴，五日一大宴
三日打魚四日晒網,三天打魚兩天晒網
三日打魚四日曬網,工作時做時歇沒有持續
三日毋讀書，面目可憎,三日不讀書，面目可憎
三暢四暢,很高興
三月仔,三月
三月毋知肉味,三月不知肉味
三月裡个桃花,三月裡的桃花
三朝,第三天
三板刀,刀傷草
三步腳一坎店,走三步就有一間店
三步門就毋出,足不出戶
三歲子,三歲小孩
三毋去,三不去
三毋易,三不易
三毋朽,三不朽
三毋歸,三不歸
三毋留,三不留
三毋知,三不知
三毋管,三不管
三求四求,一直求
三求四求,這裡求那裡求
三洽水,水流會合處
三畫王,三繪畫王
三看四看,這裡看那裡看
三睡四睡,一直睡
三細子,三小子
三股一股,三分之一
三色花,三色堇
三著,三穿
三補四補,這裡補那裡補
三見面,三方會面
三角梅,九重葛
三角燈籠,倒地鈴
三角葉瓜,馬㼎兒
三角鹹草,藺草
三角麥,蕎麥
三講四講,一直講
三變四變,一直變
三趾濫泥鳥,三趾鷸
三軍可奪帥，匹夫毋可奪志,三軍可奪帥，匹夫不可奪志
三逐四逐,三催四請
三過其門而毋入,三過其門而不入
三部合唱,三聲部合唱
三除四扣,東扣西扣
三隻,三個
三隻鼻公空,多管閒事
三頭兩日,三天兩頭
三頭毋辨兩,三頭不辨兩
三駛四駛,一直開
上,上方
上,往上
上上上背,很往上的地方
上上上背,很往北的地方
上上下下,來來往往
上上下下,從上到下
上下,上面和下面
上仔,往上仔
上便所,上廁所
上勝,得寸進尺
上古,以前
上古,從前
上向,往上向
上回,上次
上土,覆土
上坵,上面那塊
上坵吊,往上坵吊
上坵田,上畝田
上坵黃,往上坵黃
上壁,上牆壁
上夜,上半夜
上天毋生無祿之人,上天不生無祿之人
上姓,貴姓
上家下屋,鄰居
上崎,上坡
上崎濛沙煙,上坡霧
上崎霧,上坡霧
上帝,天主
上帝个愛,上帝的愛
上得,上得去
上手,上一手
上手,前手
上擺,上次
上教,很好教
上新莊,上新庄
上早,以前
上早,古代
上早,從前
上早,早先
上早,早先時刻
上時,往上時
上晝,上午
上晝頭,上午
上杭,上杭縣
上格,上層
上梁毋正,上梁不正
上梁毋正下梁歪,上梁不正下梁歪
上棚,上臺
上樑,架上樑木
上橫頭,尊位
上毋上,上不去
上毋上，下毋下,上不上，下不下
